,arrestnumber,page_num,charges,charge_type,charge_counts,charge_IBRcode,charge_statutenumber,charge_warrantdate,chargenum
41,328245,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,01/26/2022,1
42,328245,0.0,Warrant Service For Other Jurisdiction,Misd,2.0,9910,WARR,12/13/2021,2
43,328245,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,02/04/2022,3
44,328245,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/06/2022,4
45,318292,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,05/16/2020,1
46,318289,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),01/14/2020,1
47,330286,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,04/14/2022,1
48,330286,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),11/29/2021,2
49,330284,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,12/06/2021,1
50,326813,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,08/18/2021,1
51,325360,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),07/21/2021,1
52,325360,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,07/21/2021,2
53,310930,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,04/18/2019,1
54,310930,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,04/18/2019,2
55,310930,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,04/18/2019,3
56,310930,0.0,Windshields - Tint Restrictions,Misd,1.0,9914,20-127(D),04/18/2019,4
57,311015,0.0,Possess Cs Public Park Or Within 1000 Feet Of,Fel,1.0,35A,90-95(E)(10),05/02/2019,1
58,311015,0.0,Possess Cs Public Park Or Within 1000 Feet Of,Fel,1.0,35A,90-95(E)(10),05/02/2019,2
59,311015,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),05/02/2019,3
60,311015,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,05/02/2019,4
61,330797,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,2.0,35A,90-95(A1)P2,05/31/2022,1
62,330797,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),05/31/2022,2
63,330797,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,05/31/2022,3
64,327386,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,12/14/2021,1
65,317618,0.0,Malicious Conduct By Prisoner,Fel,1.0,13B,14-258.4,03/27/2020,1
66,317618,0.0,Simple Assault & Battery Or Affray,Fel,1.0,13B,14-33(A),03/27/2020,2
67,317618,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,03/27/2020,3
68,324231,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/05/2021,1
69,324231,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,05/05/2021,2
70,324231,0.0,Drive While License Revoked For Impaired DrivAft Rev Notice,Misd,1.0,9914,20-28(A3)(1),05/05/2021,3
71,324231,0.0,No Financial Responsibility,Misd,1.0,9914,20-313,05/05/2021,4
72,320075,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,09/24/2020,1
73,320075,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,09/24/2020,2
74,320075,0.0,Drive While License Revoked Not Impaired RevBased,Misd,1.0,9914,20-28(A),09/24/2020,3
75,312927,0.0,Assault On Handicapped Person Inflict SeriousInjury,Fel,1.0,13A,14-32.1(E2),07/10/2019,1
76,312926,0.0,Robbery With Firearms Or Other DangerousWeapons,Fel,2.0,120,14-87,07/21/2019,1
77,312926,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),07/21/2019,2
78,316760,0.0,Burning Of Personal Property,Fel,1.0,200,14-66,01/15/2020,1
79,316760,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,01/30/2020,2
80,316760,0.0,Injury To Personal Property,Misd,1.0,290,14-160,01/15/2020,3
81,317614,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),03/16/2020,1
82,317614,0.0,Fail To Appear-release Order,Fel,1.0,90Z,15A-305(B)(2),03/16/2020,2
83,325767,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),08/19/2021,1
84,325767,0.0,Shoplifting,Misd,1.0,23C,14-72.1,08/19/2021,2
85,321941,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,01/22/2021,1
86,321942,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/22/2020,1
87,329392,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,02/25/2022,1
88,329569,0.0,No Operator License,Misd,1.0,9914,20-7(A),03/08/2022,1
89,329569,0.0,Operating Vehicle On Highway WithoutRegistration Or Expired,Misd,1.0,9914,20-111(1),03/08/2022,2
90,329878,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,03/29/2022,1
91,329878,0.0,No Operator License,Misd,1.0,9914,20-7(A),03/29/2022,2
92,329878,0.0,Careless And Reckless Driving,Misd,1.0,9914,20-140,03/29/2022,3
93,329899,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,03/31/2022,1
94,318120,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,05/06/2020,1
95,318304,0.0,Robbery With Firearms Or Other DangerousWeapons,Fel,1.0,120,14-87,05/16/2020,1
96,321288,0.0,Assault Law Enforcement Or State Officer,Misd,1.0,13B,14-33(C4),12/22/2020,1
97,321288,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/22/2020,2
98,321288,0.0,Display/possess Fictitious/expired RegistrationPlate,Misd,1.0,9914,20-111(2),12/22/2020,3
99,325190,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),07/10/2021,1
100,325190,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),07/10/2021,2
101,325190,0.0,Disorderly Conduct,Misd,1.0,90C,14-288.4,07/10/2021,3
102,319587,0.0,Noise Ordinance Violation,Misd,1.0,90Z,14-4.8504,08/16/2020,1
103,312906,0.0,Warrant Service For Other Jurisdiction,Fel,2.0,9910,WARR,08/21/2018,1
104,312906,0.0,Warrant Service For Other Jurisdiction,Fel,2.0,9910,WARR,08/21/2018,2
105,322279,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,09/15/2020,1
106,324016,0.0,Warrant Service For Other Jurisdiction,Misd,2.0,9910,WARR,02/08/2021,1
107,324016,0.0,Warrant Service For Other Jurisdiction,Misd,2.0,9910,WARR,02/08/2021,2
108,307734,0.0,Stalking,Misd,1.0,13C,14-277.3,11/16/2018,1
109,315638,0.0,Standing Sitting And Walking On MedianGenerally Prohibited,Misd,1.0,90Z,CO 66-12,12/09/2019,1
110,311570,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,05/29/2019,1
111,311570,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,05/29/2019,2
112,311570,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,05/29/2019,3
113,327579,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,12/30/2021,1
114,327579,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,12/30/2021,2
115,325831,0.0,Uttering A Forged Instrument,Fel,1.0,250,14-120,08/23/2021,1
116,309912,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),11/01/2017,1
117,321783,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,01/07/2021,1
118,322728,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,04/01/2021,1
119,326143,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,09/10/2021,1
120,326408,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,10/02/2021,1
121,316789,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/01/2020,1
122,315318,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),11/22/2019,1
123,315319,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/24/2019,1
124,315319,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/24/2019,2
125,308706,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),01/12/2019,1
126,329336,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),08/10/2021,1
127,319584,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,08/16/2020,1
128,319584,0.0,Injury To Personal Property,Misd,1.0,290,14-160,08/16/2020,2
129,328209,0.0,Domestic Criminal Trespass,Misd,1.0,90J,14-134.3,02/13/2022,1
130,321858,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,02/12/2020,1
131,310028,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,01/20/2017,1
132,308713,0.0,Larceny By Servants And Other Employees,Fel,1.0,270,14-74,09/08/2017,1
133,308713,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),09/08/2017,2
134,321688,0.0,Shoplifting,Misd,1.0,23C,14-72.1,01/17/2021,1
135,321688,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,01/17/2021,2
136,315189,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,11/16/2019,1
137,315444,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,11/28/2019,1
138,311448,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/24/2019,1
139,308763,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),01/15/2019,1
140,307717,0.0,Possess W/i/t M/s/d Control Substance Schedule I,Fel,1.0,35A,90-95(A1)P1,11/16/2018,1
141,307717,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,11/16/2018,2
142,329408,0.0,Assault With Deadly Weapon Inflicting SeriousInjury,Misd,1.0,13A,14-32(B),11/05/2021,1
143,321602,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,01/13/2021,1
144,321602,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,01/13/2021,2
145,321602,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,12/14/2020,3
146,321602,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,09/22/2020,4
147,311378,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/30/2019,1
148,324210,0.0,Obtaining Property By False Pretenses,Fel,2.0,26A,14-100,05/04/2021,1
149,324210,0.0,Possessing Stolen Goods,Misd,1.0,280,14-71.1,05/04/2021,2
150,326601,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),09/17/2021,1
151,324761,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,06/08/2021,1
152,330685,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),05/24/2022,1
153,330685,0.0,Larceny By Servants And Other Employees,Fel,1.0,270,14-74,05/24/2022,2
154,324332,0.0,Fugitive From Justice,Fel,1.0,90Z,15A-733,01/11/2021,1
155,319797,0.0,Possess Control Substance Schedule I,Fel,1.0,35A,90-95(A3)1,09/01/2020,1
156,322018,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,02/11/2021,1
157,325171,0.0,Communicating Threats,Misd,3.0,13C,14-277.1,06/29/2021,1
158,325171,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,06/29/2021,2
159,317942,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/18/2020,1
160,311582,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),05/31/2019,1
161,321830,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,2.0,35A,90-95(A1)P6,01/27/2021,1
162,321830,0.0,Possess Marijuana Up To 1/2 Oz,Fel,2.0,35A,90-95(D4),01/27/2021,2
163,321830,0.0,Possession Of Drug Paraphernalia,Misd,2.0,35B,90-113.22,01/27/2021,3
164,329702,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,03/18/2022,1
165,324790,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,05/04/2018,1
166,312225,0.0,False Report To Police Radio BroadcastingStation,Misd,1.0,90Z,14-225,06/29/2019,1
167,312225,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),06/29/2019,2
168,324067,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,04/25/2021,1
169,324067,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,04/25/2021,2
170,314025,0.0,Discharging Weapons Generally,Misd,1.0,520,CO 46-21,09/21/2019,1
171,312946,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),08/03/2019,1
172,326076,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),09/13/2021,1
173,310793,0.0,Shoplifting,Misd,1.0,23C,14-72.1,04/24/2019,1
174,319580,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/29/2020,1
175,319580,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,07/29/2020,2
176,319580,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,07/29/2020,3
177,319580,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/16/2020,4
178,319580,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,07/29/2020,5
179,319580,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,07/29/2020,6
180,319580,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/29/2020,7
181,308043,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,12/04/2018,1
182,314492,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),10/15/2019,1
183,307776,0.0,Breaking And Entering Building  (misdemeanor),Misd,1.0,220,14-54(B),11/19/2018,1
184,317641,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),03/30/2020,1
185,318655,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,06/06/2020,1
186,318655,0.0,Misuse Of 911 Emergency Telephone System,Misd,1.0,90Z,62A-12,06/06/2020,2
187,318655,0.0,Obscene/profane Call,Misd,1.0,90Z,14-196,06/06/2020,3
188,307577,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,06/07/2018,1
189,307577,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,10/23/2017,2
190,327729,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),12/14/2021,1
191,327729,0.0,Trafficking Heroin,Fel,1.0,35A,90-95(H4),12/14/2021,2
192,327729,0.0,Possess Wit M/s/d Control Substance Schedule Iv,Fel,1.0,35A,90-95(A1)P4,12/14/2021,3
193,327729,0.0,Attempt And Conspiracy To ViolateControlled Substance Laws,Fel,1.0,35A,90-98,12/14/2021,4
194,327729,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,12/14/2021,5
195,327729,0.0,Possession Of Firearms  Etc By FelonProhibited,Fel,2.0,520,14-415.1,12/14/2021,6
196,317562,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/23/2020,1
197,322766,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,04/06/2021,1
198,311488,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,05/27/2019,1
199,321498,0.0,Second Degree Kidnapping,Fel,1.0,100,14-39(B),01/06/2021,1
200,321498,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),01/06/2021,2
201,326669,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,10/22/2021,1
202,326669,0.0,Transporting Open Container,Misd,1.0,90G,20-138.7,10/22/2021,2
203,317944,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,04/24/2020,1
204,317944,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,04/24/2020,2
205,322762,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,04/05/2021,1
206,322762,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,04/05/2021,2
207,318080,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),11/18/2019,1
208,327674,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,01/07/2022,1
209,326758,0.0,"Carry Concealed Weapon - Alcohol, ProhibitedPlaces",Misd,1.0,520,14-415.11(C),10/27/2021,1
210,326758,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,10/27/2021,2
211,326758,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,10/27/2021,3
212,318427,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/25/2020,1
213,318427,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),05/25/2020,2
214,326938,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,11/07/2021,1
215,325685,0.0,Warrant Service For Other Jurisdiction,Fel,2.0,9910,WARR,07/30/2021,1
216,319415,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),08/05/2020,1
217,330238,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,04/24/2022,1
218,330238,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,04/24/2022,2
219,330238,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,10/11/2021,3
220,311560,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,05/28/2019,1
221,307733,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,11/16/2018,1
222,329861,0.0,Indecent Exposure,Misd,1.0,90C,14-190.9,03/26/2022,1
223,317626,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,01/03/2020,1
224,321604,0.0,Shoplifting,Misd,1.0,23C,14-72.1,01/13/2021,1
225,327516,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),12/24/2021,1
226,319575,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,08/05/2020,1
227,330272,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,04/26/2022,1
228,327716,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),12/24/2021,1
229,327716,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,12/24/2021,2
230,318710,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),06/11/2020,1
231,329368,0.0,True Bill Of Indictment,Misd,1.0,90Z,15A-305(B)(1),01/06/2022,1
232,324427,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,05/14/2021,1
233,326620,0.0,Assault With Deadly Weapon With Intent To Kill,Fel,2.0,13A,14-32(C),10/18/2021,1
234,326620,0.0,Injury To Personal Property,Misd,1.0,290,14-160,10/18/2021,2
235,307762,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),11/18/2018,1
236,325346,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,07/20/2021,1
237,307705,0.0,Probation Violation,Misd,1.0,90Z,15A-305(B)4,05/30/2014,1
238,307705,0.0,Probation Violation,Misd,1.0,90Z,15A-305(B)4,06/02/2014,2
239,310294,0.0,Obtaining Property By False Pretenses,Fel,1.0,26A,14-100,03/29/2019,1
240,310294,0.0,Larceny By Servants And Other Employees,Fel,1.0,270,14-74,03/29/2019,2
241,319304,0.0,Receiving Or Transferring Stolen Vehicles,Fel,1.0,280,14-71.2,07/28/2020,1
242,316388,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,12/20/2017,1
243,315605,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,08/09/2019,1
244,315605,0.0,Injury To Personal Property,Misd,1.0,290,14-160,08/11/2019,2
245,315573,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,12/20/2017,1
246,321497,0.0,Burglary (first Degree),Fel,1.0,220,14-51FIR,01/07/2021,1
247,321497,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),01/07/2021,2
248,321497,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,01/07/2021,3
249,321497,0.0,Interfering With EmergencyCommunication,Misd,1.0,90Z,14-286.2,01/07/2021,4
250,314616,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,07/01/2018,1
251,314616,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,07/01/2018,2
252,325357,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,07/21/2021,1
253,325358,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,07/21/2021,1
254,325411,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,07/22/2021,1
255,325411,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,07/22/2021,2
256,316625,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,01/24/2020,1
257,316625,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,02/24/2020,2
258,316625,0.0,Display/possess Fictitious/expired RegistrationPlate,Misd,1.0,9914,20-111(2),01/24/2020,3
259,316625,0.0,Drive While License Revoked Not ImpairedRev Based,Misd,1.0,9914,20-28(A),02/24/2020,4
260,309067,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,12/14/2018,1
261,316979,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/11/2020,1
262,313077,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,08/06/2019,1
263,313077,0.0,Larceny/concealment/destruction Of Wills,Misd,1.0,23H,14-77,08/06/2019,2
264,327130,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),11/21/2021,1
265,310726,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),03/25/2019,1
266,310726,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/25/2019,2
267,310726,0.0,Interfering With Emergency Communication,Misd,1.0,90Z,14-286.2,03/25/2019,3
268,316977,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/11/2020,1
269,317834,0.0,Assault By Pointing A Gun,Misd,1.0,13A,14-34,03/16/2020,1
270,317834,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/16/2020,2
271,317835,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,04/10/2020,1
272,324748,0.0,Kidnapping/hold For Ransom,Fel,1.0,100,14-39(A1),06/08/2021,1
273,324748,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),06/08/2021,2
274,324748,0.0,Assault By Strangulation Inflict Physical Injury,Fel,1.0,13A,14-32.4(B),06/08/2021,3
275,324748,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),06/08/2021,4
276,324748,0.0,Stolen Property - Buying/receiving,Fel,1.0,280,14-71,06/08/2021,5
277,324750,0.0,Common Law Robbery,Fel,1.0,120,14-87.1,04/13/2021,1
278,324750,0.0,Financial Transaction Card Takes/obtains,Fel,1.0,26A,14-113.9(1),04/13/2021,2
